SPO2,IR,RED
,146929.0,48375.0
,146968.0,48559.0
,147041.0,48159.0
,146987.0,48400.0
,147342.0,48368.0
,147901.0,48092.0
,148110.0,48718.0
,147935.0,48480.0
,147906.0,48578.0
,148296.0,48663.0
,148458.0,48306.0
,148198.0,48642.0
,148740.0,48601.0
,148965.0,48889.0
,149151.0,48468.0
,149181.0,48935.0
,149511.0,48547.0
,149465.0,49168.0
,149611.0,48854.0
,149758.0,49027.0
,149717.0,49215.0
,149916.0,48873.0
,150402.0,48812.0
,150003.0,49028.0
,150462.0,49045.0
,150903.0,49849.0
,150955.0,49237.0
,150733.0,49094.0
,151062.0,48804.0
,151068.0,49101.0
,151041.0,49235.0
,151098.0,48868.0
,151042.0,48552.0
,151127.0,48726.0
,151126.0,49318.0
,150248.0,48921.0
,149682.0,48748.0
,148928.0,48463.0
,147834.0,48249.0
,146432.0,48097.0
,145290.0,47953.0
,144251.0,47538.0
,143587.0,47619.0
,143195.0,47154.0
,143074.0,47737.0
,142894.0,47065.0
,142696.0,47320.0
,143055.0,47547.0
,142579.0,47151.0
,143132.0,47887.0
,143010.0,47198.0
,143423.0,47503.0
,143308.0,47720.0
,143113.0,47615.0
,143389.0,47930.0
,143388.0,47504.0
,144016.0,47787.0
,143895.0,47479.0
,143670.0,47776.0
,143620.0,47766.0
,143485.0,47635.0
,143941.0,47409.0
,143937.0,47451.0
,144146.0,47844.0
,144600.0,47490.0
,144667.0,47531.0
,145412.0,47571.0
,145711.0,48199.0
,145792.0,48151.0
,146481.0,48316.0
,146500.0,48171.0
,146764.0,48221.0
,146440.0,48417.0
,146922.0,47959.0
,146840.0,48297.0
,146779.0,48415.0
,146737.0,47754.0
,146700.0,48058.0
,146522.0,47807.0
,146869.0,48035.0
,146472.0,48104.0
,146471.0,47736.0
,146824.0,48165.0
,146683.0,48452.0
,147129.0,48080.0
,147399.0,48857.0
,147290.0,48477.0
,147223.0,48552.0
,147272.0,48525.0
,147882.0,48545.0
,147490.0,48465.0
,147937.0,48298.0
,147923.0,48522.0
,148386.0,48512.0
,148370.0,48603.0
,148750.0,48964.0
,148682.0,48420.0
,149090.0,48637.0
,148957.0,48543.0
,149325.0,48841.0
,149285.0,48690.0
,149599.0,48548.0
,149544.0,48698.0
,149733.0,48961.0
,150047.0,49010.0
,150276.0,48869.0
,149952.0,48887.0
,150732.0,48718.0
,150532.0,48778.0
,150771.0,48418.0
,150960.0,49202.0
,150998.0,49226.0
,150775.0,49437.0
,150678.0,48967.0
,150850.0,48803.0
,150896.0,49076.0
,151166.0,48920.0
,150982.0,48740.0
,150383.0,48978.0
,149912.0,48455.0
,149231.0,48830.0
,148277.0,48322.0
,147324.0,48235.0
,145756.0,47931.0
,144605.0,47941.0
,143643.0,47403.0
,143509.0,47852.0
,142951.0,47035.0
,142970.0,47351.0
,142971.0,47104.0
,142534.0,47393.0
,143072.0,47522.0
,143380.0,47634.0
,143089.0,48043.0
,142915.0,47509.0
,142987.0,47199.0
,143500.0,47196.0
,143798.0,47553.0
,143336.0,47793.0
,143640.0,47728.0
,143471.0,47230.0
,143686.0,48073.0
,143550.0,47616.0
,143901.0,47668.0
,144087.0,47555.0
,144414.0,47323.0
,144653.0,48174.0
,145222.0,48036.0
,145568.0,48108.0
,146031.0,47750.0
,146125.0,47849.0
,146760.0,48341.0
,147056.0,47935.0
,146774.0,48620.0
,147034.0,48009.0
,147030.0,48375.0
,146814.0,48346.0
,147113.0,47960.0
,146768.0,48401.0
,146670.0,47540.0
,146743.0,48261.0
,146611.0,47790.0
,146321.0,48358.0
,146923.0,48178.0
,146812.0,48295.0
,147021.0,48242.0
,146750.0,48293.0
,147001.0,48399.0
,147410.0,48437.0
,147605.0,48167.0
,147808.0,48891.0
,147808.0,48711.0
,147911.0,48594.0
,148512.0,48515.0
,148184.0,48676.0
,148233.0,48282.0
,148799.0,48613.0
,148727.0,48765.0
,148931.0,48792.0
,149437.0,48668.0
,149281.0,48958.0
,149549.0,49056.0
,149690.0,48605.0
,149918.0,48757.0
,149933.0,49461.0
,150342.0,49098.0
,149781.0,48716.0
,149715.0,48425.0
,150160.0,49201.0
,150793.0,48509.0
,150400.0,49272.0
,150670.0,49105.0
,150858.0,48973.0
,151169.0,48913.0
,150876.0,49041.0
,151065.0,48983.0
,151390.0,49435.0
,151390.0,49171.0
,151207.0,49383.0
,151409.0,48996.0
,151532.0,49270.0
,150938.0,49110.0
,150688.0,49302.0
,149599.0,48874.0
,148616.0,48572.0
,147194.0,48633.0
,145947.0,48033.0
,144584.0,47633.0
,143385.0,47677.0
,142822.0,47184.0
,142603.0,47751.0
,142257.0,47144.0
,141992.0,46715.0
,142560.0,47363.0
,142319.0,47171.0
,141881.0,46957.0
,142248.0,47667.0
,142043.0,47241.0
,142119.0,47169.0
,142562.0,47379.0
,142482.0,47771.0
,142772.0,47175.0
,142179.0,47156.0
,142310.0,47386.0
,142531.0,47591.0
,142480.0,47331.0
,142316.0,47277.0
,142297.0,47581.0
,142428.0,47525.0
,142614.0,47697.0
,142463.0,47459.0
,142535.0,47478.0
,143065.0,47613.0
,143613.0,47999.0
,143365.0,47841.0
,144337.0,47707.0
,144452.0,47670.0
,144331.0,47626.0
,144623.0,48096.0
,144841.0,47763.0
,145390.0,48006.0
,144833.0,48032.0
,145277.0,47960.0
,145209.0,48103.0
,144956.0,47742.0
,144798.0,48045.0
,145207.0,47591.0
,145142.0,48040.0
,145058.0,47885.0
,145444.0,48033.0
,145159.0,47854.0
,145140.0,47848.0
,145412.0,48363.0
,145650.0,47218.0
,146147.0,48161.0
,145927.0,48204.0
,146141.0,48144.0
,146135.0,47474.0
,146481.0,47839.0
,146325.0,48017.0
,147093.0,48402.0
,146910.0,47891.0
,147064.0,48015.0
,147249.0,48477.0
,147563.0,48358.0
,147795.0,48554.0
,148240.0,48391.0
,147808.0,48559.0
,148086.0,48873.0
,148436.0,48505.0
,148588.0,48845.0
,148580.0,48811.0
,148574.0,48419.0
,148593.0,48448.0
,148606.0,48745.0
,149471.0,49075.0
,149410.0,48942.0
,149400.0,48351.0
,149235.0,48726.0
,149502.0,48609.0
,149539.0,48707.0
,150092.0,48806.0
,149618.0,48736.0
,149845.0,48724.0
,149861.0,48787.0
,150112.0,48905.0
,150551.0,49136.0
,150147.0,48845.0
,149741.0,48774.0
,149571.0,48569.0
,148662.0,48646.0
,147745.0,48201.0
,146229.0,48239.0
,145050.0,47838.0
,143466.0,47923.0
,142547.0,47521.0
,141929.0,47085.0
,141438.0,47062.0
,141411.0,47171.0
,140836.0,47244.0
,141192.0,47220.0
,141041.0,47433.0
,141080.0,47265.0
,141345.0,47180.0
,141273.0,47253.0
,141342.0,47086.0
,141133.0,47430.0
,141072.0,47337.0
,141410.0,47273.0
,141100.0,47473.0
,141398.0,47373.0
,141255.0,46873.0
,141541.0,47377.0
,141224.0,47248.0
,141350.0,47579.0
,141414.0,47140.0
,141847.0,47334.0
,141421.0,46960.0
,141415.0,47408.0
,141983.0,47309.0
,142477.0,47308.0
,142798.0,47674.0
,143299.0,47453.0
,143651.0,47427.0
,143583.0,47557.0
,144001.0,47557.0
,143926.0,47657.0
,143874.0,47600.0
,143873.0,47757.0
,144000.0,47996.0
,143880.0,47790.0
,143894.0,47737.0
,143954.0,47708.0
,144063.0,47829.0
,144203.0,47516.0
,144166.0,47551.0
,144169.0,47844.0
,144188.0,47139.0
,144186.0,47971.0
,144175.0,48272.0
,144738.0,47816.0
,144966.0,47572.0
,145111.0,47880.0
,145090.0,47796.0
,145524.0,48093.0
,145796.0,48191.0
,146159.0,47929.0
,146196.0,48277.0
,146351.0,48101.0
,146472.0,48614.0
,146564.0,48188.0
,146679.0,48262.0
,146915.0,47783.0
,147041.0,48280.0
,147238.0,48178.0
,147883.0,48664.0
,147643.0,48036.0
,147893.0,48599.0
,148462.0,48796.0
,147936.0,48084.0
,148111.0,48377.0
,148447.0,48195.0
,148921.0,48986.0
,149138.0,48837.0
,149609.0,48918.0
,149564.0,49151.0
,149785.0,48877.0
,150128.0,49365.0
,150688.0,48862.0
,150977.0,49012.0
,150986.0,49391.0
,151083.0,49285.0
,151074.0,49117.0
,151658.0,49350.0
,151454.0,49234.0
,151494.0,49140.0
,151764.0,49158.0
,151886.0,49765.0
,151186.0,49022.0
,150540.0,49049.0
,149396.0,48747.0
,147914.0,48411.0
,146639.0,48020.0
,144952.0,47897.0
,143573.0,47473.0
,142698.0,47784.0
,142106.0,47660.0
,141627.0,47539.0
,141117.0,47343.0
,140987.0,47019.0
,141127.0,46895.0
,140982.0,47377.0
,140960.0,47119.0
,141078.0,47231.0
,141292.0,47536.0
,141050.0,47459.0
,141082.0,47463.0
,141524.0,47647.0
,141656.0,47248.0
,141511.0,47589.0
,141777.0,47467.0
,141629.0,47217.0
,141441.0,46865.0
,141786.0,47385.0
,141467.0,47101.0
,141857.0,47731.0
,142166.0,47386.0
,141543.0,47456.0
,142216.0,47487.0
,142077.0,47564.0
,142746.0,47647.0
,143507.0,47499.0
,143692.0,47538.0
,143990.0,47674.0
,144371.0,47905.0
,144861.0,47807.0
,145038.0,47638.0
,144932.0,48148.0
,144911.0,47997.0
,145127.0,48410.0
,145109.0,47849.0
,145254.0,48317.0
,145165.0,47684.0
,145195.0,47677.0
,145057.0,47658.0
,145212.0,48430.0
,145522.0,47767.0
,145611.0,48455.0
,145355.0,48174.0
,145572.0,48074.0
,145894.0,48087.0
,145796.0,48036.0
,146137.0,48385.0
,146055.0,48398.0
,146165.0,48015.0
,146221.0,48020.0
,146435.0,48489.0
,146672.0,48305.0
,146913.0,48069.0
,146580.0,48155.0
,147023.0,48869.0
,147622.0,48284.0
,147866.0,48618.0
,147958.0,48504.0
,148093.0,48752.0
,148498.0,48565.0
,148765.0,48281.0
,148891.0,48625.0
,148949.0,48409.0
,149065.0,48442.0
,149587.0,48776.0
,149160.0,48982.0
,149455.0,48965.0
,149375.0,48791.0
,149469.0,48783.0
,149487.0,49189.0
,149455.0,48760.0
,150052.0,49299.0
,149913.0,48800.0
,150381.0,49076.0
,150543.0,48569.0
,150348.0,48963.0
,150435.0,48755.0
,150845.0,48920.0
,150486.0,49233.0
,150998.0,49316.0
,150794.0,49651.0
,151020.0,49126.0
,150760.0,49340.0
,150429.0,48877.0
,149950.0,49215.0
,149279.0,48629.0
,147891.0,48609.0
,146533.0,48242.0
,145021.0,48167.0
,143572.0,47820.0
,141898.0,47407.0
,141217.0,47393.0
,141112.0,46667.0
,140737.0,47365.0
,140572.0,47131.0
,140761.0,47232.0
,140562.0,47271.0
,141001.0,47237.0
,140975.0,47122.0
,141009.0,47298.0
,141063.0,47120.0
,141343.0,47217.0
,141134.0,47241.0
,141445.0,47160.0
,141575.0,47248.0
,141689.0,47473.0
,141828.0,47239.0
,141507.0,47378.0
,141984.0,47218.0
,141598.0,47131.0
,141587.0,47745.0
,142236.0,47267.0
,142235.0,47468.0
,141989.0,47404.0
,143293.0,47494.0
,143557.0,48072.0
,143898.0,47759.0
,144562.0,48025.0
,144713.0,48124.0
,145017.0,48053.0
,144879.0,48182.0
,144947.0,47963.0
,144670.0,48010.0
,144891.0,47530.0
,144691.0,47624.0
,144574.0,47864.0
,144765.0,47857.0
,144746.0,47895.0
,144837.0,47577.0
,144308.0,47520.0
,144397.0,47635.0
,144783.0,48078.0
,144579.0,47751.0
,145226.0,48121.0
,145649.0,47776.0
,145679.0,48176.0
,145894.0,48279.0
,145538.0,48127.0
,145749.0,48322.0
,146307.0,47794.0
,146333.0,48343.0
,146453.0,48095.0
,146624.0,48560.0
,147187.0,48389.0
,147004.0,48588.0
,147157.0,48787.0
,147558.0,48409.0
,147417.0,48668.0
,148089.0,48163.0
,148022.0,48790.0
,148264.0,48367.0
,148280.0,48832.0
,148679.0,48536.0
,148243.0,48332.0
,148806.0,48830.0
,149208.0,48376.0
,148803.0,48783.0
,149283.0,48343.0
,149305.0,49119.0
,149546.0,48617.0
,149629.0,48568.0
,149640.0,48700.0
,149956.0,49102.0
,149759.0,48980.0
,149957.0,49020.0
,149935.0,49212.0
,150237.0,49137.0
,149779.0,49085.0
,149749.0,48837.0
,149642.0,49150.0
,148939.0,48747.0
,147557.0,48392.0
,146604.0,48106.0
,144641.0,48051.0
,143437.0,47758.0
,142212.0,47327.0
,140831.0,46667.0
,140360.0,47307.0
,140369.0,47346.0
,140002.0,46956.0
,139982.0,46815.0
,140151.0,46899.0
,139946.0,46953.0
,140616.0,47182.0
,140686.0,47456.0
,140931.0,47048.0
,140906.0,47558.0
,140850.0,47376.0
,140941.0,47468.0
,140971.0,47363.0
,140924.0,46992.0
,141101.0,46837.0
,141675.0,46838.0
,141547.0,47413.0
,141079.0,47589.0
,141786.0,47236.0
,141552.0,47240.0
,142186.0,46899.0
,142233.0,47747.0
,143137.0,47248.0
,143220.0,47448.0
,143752.0,47312.0
,144133.0,47864.0
,144522.0,47617.0
,144325.0,47854.0
,144747.0,47904.0
,144562.0,47424.0
,144548.0,48171.0
,144933.0,47582.0
,144470.0,47778.0
,144514.0,47874.0
,144745.0,48096.0
,144522.0,47815.0
,144702.0,47737.0
,144695.0,47930.0
,144670.0,47678.0
,144819.0,48220.0
,144870.0,47975.0
,145322.0,48210.0
,145511.0,47878.0
,145290.0,48111.0
,145767.0,48092.0
,145894.0,47948.0
,145989.0,48307.0
,146254.0,47973.0
,146567.0,48438.0
,146735.0,47955.0
,146568.0,47881.0
,147068.0,48639.0
,147530.0,48470.0
,147348.0,48741.0
,147586.0,49144.0
,147604.0,48330.0
,147754.0,48525.0
,148206.0,48837.0
,148349.0,48998.0
,148519.0,48782.0
,148736.0,48736.0
,148623.0,49061.0
,148839.0,48282.0
,148935.0,48662.0
,149009.0,48699.0
,149345.0,48673.0
,149505.0,48888.0
,149587.0,48872.0
,149525.0,49202.0
,149478.0,49092.0
,149797.0,48450.0
,149972.0,49236.0
,149980.0,48498.0
,149849.0,48833.0
,150144.0,48436.0
,150154.0,49212.0
,150684.0,49127.0
,150341.0,48733.0
,150101.0,48811.0
,149947.0,48721.0
,149591.0,48853.0
,148555.0,48856.0
,146622.0,48475.0
,145448.0,47694.0
,143483.0,47873.0
,142049.0,47537.0
,140908.0,47494.0
,140192.0,47136.0
,139683.0,46941.0
,139500.0,46134.0
,139551.0,46878.0
,139332.0,47149.0
,139680.0,47083.0
,139758.0,47039.0
,139330.0,46473.0
,139406.0,46948.0
,140052.0,46568.0
,139892.0,46964.0
,139693.0,46865.0
,139865.0,46721.0
,139691.0,47234.0
,139605.0,47033.0
,139828.0,46870.0
,140138.0,47276.0
,139599.0,47051.0
,139711.0,46829.0
,140139.0,47029.0
,140237.0,47177.0
,139940.0,46930.0
,140702.0,46905.0
,140891.0,47429.0
,141355.0,47063.0
,141646.0,47613.0
,142170.0,47384.0
,142417.0,47735.0
,142390.0,47442.0
,143207.0,47497.0
,143361.0,47844.0
,143485.0,47441.0
,143251.0,47516.0
,143465.0,47850.0
,143320.0,47594.0
,143216.0,47443.0
,143280.0,47745.0
,143357.0,47590.0
,143266.0,47451.0
,143517.0,47205.0
,143591.0,47923.0
,143662.0,48014.0
,143518.0,47670.0
,143899.0,48062.0
,143951.0,47607.0
,143826.0,47758.0
,144244.0,48050.0
,144602.0,47368.0
,144831.0,48306.0
,145091.0,47856.0
,145161.0,48441.0
,145185.0,48321.0
,145616.0,48367.0
,146063.0,48609.0
,146082.0,48065.0
,146462.0,48163.0
,146197.0,47875.0
,146396.0,48432.0
,146930.0,48161.0
,147067.0,48419.0
,147204.0,48157.0
,147341.0,48434.0
,147660.0,48277.0
,147765.0,48855.0
,147863.0,48667.0
,147837.0,48568.0
,147951.0,48514.0
,148451.0,48033.0
,148326.0,48392.0
,148244.0,48505.0
,148743.0,48466.0
,148942.0,48631.0
,148617.0,48681.0
,148782.0,48896.0
,148757.0,48645.0
,149072.0,48651.0
,149311.0,49152.0
,149133.0,48713.0
,149365.0,48611.0
,149473.0,49107.0
,148793.0,48772.0
,148478.0,48876.0
,147379.0,48078.0
,146145.0,48107.0
,144619.0,47788.0
,142983.0,47757.0
,141931.0,47941.0
,139924.0,47213.0
,139691.0,46672.0
,139568.0,46815.0
,138918.0,46782.0
,139208.0,47120.0
,139123.0,46552.0
,139115.0,47010.0
,138878.0,46897.0
,138789.0,46865.0
,139276.0,46760.0
,139375.0,46980.0
,139286.0,46860.0
,139643.0,47019.0
,139339.0,46760.0
,139516.0,46720.0
,139539.0,47041.0
,139748.0,46747.0
,139609.0,46478.0
,139549.0,47133.0
,139772.0,46904.0
,139733.0,46520.0
,139667.0,46875.0
,139875.0,46911.0
,140127.0,46982.0
,140452.0,47018.0
,140522.0,47270.0
,141186.0,46863.0
,141757.0,47510.0
,141889.0,47346.0
,142120.0,46846.0
,142587.0,47627.0
,142698.0,47747.0
,143023.0,47221.0
,142919.0,47472.0
,143112.0,47775.0
,143007.0,47009.0
,142784.0,47423.0
,142674.0,47643.0
,143127.0,47924.0
,143244.0,47287.0
,143087.0,47536.0
,143316.0,47900.0
,143346.0,47506.0
,143526.0,47611.0
,143539.0,47938.0
,143895.0,47715.0
,144116.0,47907.0
,144124.0,48205.0
,144570.0,47508.0
,144683.0,47853.0
,144946.0,47630.0
,145161.0,48103.0
,145086.0,47939.0
,145284.0,47708.0
,145813.0,47803.0
,146067.0,47896.0
,146285.0,48311.0
,146377.0,48259.0
,146448.0,47950.0
,146489.0,48177.0
,147153.0,48578.0
,146895.0,48212.0
,147140.0,48317.0
,147659.0,48182.0
,147769.0,48229.0
,147951.0,48311.0
,147892.0,48427.0
,148128.0,48322.0
,148024.0,48555.0
,148131.0,48219.0
,148754.0,48603.0
,148453.0,48700.0
,148615.0,48826.0
,148860.0,48778.0
,148653.0,48563.0
,148895.0,48679.0
,149238.0,48385.0
,149230.0,48752.0
,149253.0,48628.0
,149014.0,48584.0
,149058.0,48680.0
,148821.0,48711.0
,147883.0,48665.0
,146630.0,48298.0
,145596.0,47852.0
,143530.0,47669.0
,141852.0,47557.0
,140517.0,47116.0
,139784.0,46850.0
,139434.0,46725.0
,139367.0,46631.0
,138634.0,46779.0
,138457.0,46507.0
,138753.0,46402.0
,138630.0,46707.0
,138791.0,46773.0
,139312.0,47086.0
,138981.0,46514.0
,139206.0,46900.0
,138940.0,46774.0
,138929.0,46960.0
,139498.0,46687.0
,138957.0,46926.0
,138952.0,46599.0
,139277.0,47128.0
,139636.0,46855.0
,139688.0,46902.0
,139744.0,46847.0
,139252.0,46668.0
,139763.0,46867.0
,139728.0,46607.0
,140495.0,46880.0
,140748.0,47178.0
,141560.0,47304.0
,141851.0,47629.0
,142578.0,47134.0
,142742.0,47614.0
,142737.0,47804.0
,142708.0,47732.0
,142511.0,47853.0
,142825.0,46897.0
,142379.0,47568.0
,143133.0,47748.0
,142705.0,47629.0
,142568.0,47829.0
,142716.0,47531.0
,142798.0,47179.0
,142978.0,47299.0
,143105.0,47426.0
,143140.0,47844.0
,143195.0,47457.0
,143312.0,47615.0
,143234.0,47706.0
,143792.0,48161.0
,143616.0,47679.0
,144451.0,47765.0
,144122.0,47753.0
,144227.0,47928.0
,144390.0,48002.0
,144748.0,47991.0
,144899.0,47907.0
,145430.0,47762.0
,145325.0,47634.0
,145872.0,48176.0
,145544.0,48013.0
,146022.0,48208.0
,146295.0,48082.0
,146208.0,48063.0
,146779.0,48596.0
,146731.0,47815.0
,146561.0,48233.0
,146982.0,48461.0
,147028.0,47867.0
,147394.0,48569.0
,147434.0,48342.0
,147314.0,48924.0
,147484.0,48677.0
,147980.0,48517.0
,147745.0,48645.0
,148163.0,49010.0
,148082.0,48618.0
,148145.0,48363.0
,148276.0,48396.0
,148342.0,48630.0
,148387.0,48528.0
,148550.0,48194.0
,148509.0,48137.0
,148162.0,48896.0
,147462.0,48576.0
,146797.0,48054.0
,146114.0,48068.0
,145313.0,47884.0
,144099.0,48280.0
,142881.0,47895.0
,141033.0,47126.0
,140094.0,47069.0
,139113.0,46860.0
,138818.0,46755.0
,138607.0,46642.0
,138825.0,46536.0
,138724.0,46621.0
,138457.0,46907.0
,138532.0,46538.0
,138821.0,46938.0
,139418.0,46856.0
,139101.0,47080.0
,139218.0,46726.0
,139306.0,46795.0
,139243.0,46873.0
,139651.0,46423.0
,139679.0,47242.0
,139742.0,47368.0
,139583.0,47051.0
,139821.0,46970.0
,139620.0,46897.0
,139977.0,46885.0
,140253.0,46785.0
,140506.0,47344.0
,140560.0,47069.0
,141312.0,47585.0
,141768.0,47319.0
,142373.0,47682.0
,143020.0,47645.0
,143015.0,47635.0
,143056.0,47567.0
,143189.0,47916.0
,143236.0,47838.0
,142990.0,47430.0
,142904.0,47740.0
,142989.0,47467.0
,143107.0,47795.0
,142892.0,47772.0
,142678.0,47198.0
,142847.0,47720.0
,142584.0,47395.0
,143000.0,47850.0
,143315.0,47564.0
,143480.0,47743.0
,143774.0,47418.0
,143675.0,47851.0
,143883.0,47877.0
,144248.0,48476.0
,144485.0,47719.0
,144633.0,47810.0
,144682.0,48119.0
,145095.0,47852.0
,145066.0,47601.0
,145414.0,48087.0
,145782.0,48154.0
,145722.0,48552.0
,146085.0,47742.0
,146625.0,48925.0
,146362.0,48214.0
,146374.0,48195.0
,147078.0,48463.0
,146603.0,48341.0
,146986.0,48669.0
,147238.0,48745.0
,147092.0,48830.0
,147827.0,48296.0
,147368.0,48186.0
,147596.0,48741.0
,148028.0,48665.0
,148201.0,49026.0
,148070.0,48986.0
,148462.0,48163.0
,148390.0,48391.0
,148217.0,48409.0
,148503.0,48854.0
,148640.0,48628.0
,148848.0,48806.0
,148646.0,49120.0
,149023.0,49202.0
,148817.0,48899.0
,148267.0,48384.0
,147395.0,48725.0
,146478.0,48313.0
,144912.0,48403.0
,142966.0,47548.0
,141722.0,47672.0
,140152.0,47128.0
,139115.0,46583.0
,138782.0,46669.0
,138406.0,46465.0
,137901.0,46658.0
,137754.0,46622.0
,137793.0,46351.0
,137596.0,46965.0
,137738.0,46861.0
,137902.0,46499.0
,138520.0,46551.0
,138496.0,46303.0
,138316.0,46421.0
,138274.0,46971.0
,138289.0,46517.0
,138111.0,46594.0
,138361.0,46597.0
,138278.0,46668.0
,138538.0,46928.0
,137955.0,46729.0
,138145.0,46468.0
,138298.0,46646.0
,138213.0,47008.0
,138464.0,47030.0
,139276.0,46474.0
,139133.0,46652.0
,139623.0,47355.0
,139972.0,46889.0
,140442.0,47011.0
,141151.0,47032.0
,141342.0,47075.0
,141683.0,47203.0
,141480.0,47677.0
,141551.0,46900.0
,141657.0,46616.0
,141763.0,47170.0
,141501.0,47795.0
,141991.0,47231.0
,141514.0,47384.0
,141692.0,47077.0
,141438.0,47391.0
,141791.0,47435.0
,141567.0,47484.0
,142080.0,47653.0
,142362.0,47896.0
,142533.0,47254.0
,142358.0,47022.0
,142457.0,47726.0
,142769.0,47576.0
,143251.0,47802.0
,143233.0,47556.0
,143434.0,47558.0
,143731.0,47394.0
,144031.0,47888.0
,144170.0,47727.0
,144001.0,48177.0
,144590.0,47907.0
,144471.0,48072.0
,145280.0,48078.0
,145225.0,47993.0
,145297.0,47940.0
,145564.0,47548.0
,145440.0,48517.0
,145658.0,48194.0
,145724.0,48161.0
,145927.0,47649.0
,145935.0,48276.0
,145936.0,48357.0
,146324.0,48315.0
,146561.0,48205.0
,146764.0,48679.0
,146738.0,48395.0
,146715.0,48236.0
,146717.0,48402.0
,147052.0,48322.0
,147609.0,48522.0
,147325.0,48270.0
,147791.0,48725.0
,147664.0,48500.0
,147615.0,48594.0
,147648.0,48577.0
,147686.0,48565.0
,147895.0,48244.0
,147416.0,48843.0
,146874.0,48019.0
,146119.0,47841.0
,145307.0,47956.0
,143551.0,48014.0
,141689.0,47339.0
,140095.0,46996.0
,138632.0,46551.0
,138284.0,46510.0
,137891.0,46095.0
,137615.0,46712.0
,137622.0,46399.0
,137361.0,46243.0
,137365.0,46400.0
,137718.0,46191.0
,137370.0,46532.0
,137465.0,46411.0
,137441.0,46491.0
,137640.0,46527.0
,137885.0,46612.0
,138044.0,46880.0
,137950.0,46898.0
,137851.0,46775.0
,137796.0,46599.0
,138134.0,46525.0
,138108.0,46838.0
,137724.0,46543.0
,138077.0,46632.0
,137411.0,46811.0
,137924.0,46468.0
,137958.0,46594.0
,138280.0,46732.0
,138500.0,46623.0
,139129.0,46642.0
,139454.0,46934.0
,140332.0,46670.0
,140446.0,47252.0
,140432.0,47186.0
,141047.0,46825.0
,140985.0,47333.0
,141877.0,47128.0
,141435.0,47072.0
,141374.0,47001.0
,140876.0,47493.0
,141428.0,47841.0
,141298.0,47720.0
,141216.0,47095.0
,141440.0,47149.0
,141405.0,46802.0
,141636.0,47450.0
